Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,12/18/2022 9:09,FALSE,Grand Blanc Running,14,"1,527",1:34:00,0,0,171,188,6:43,5:38,253,253,1.41,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,15,0,1:33:57,1:35:59,864,942
Running,12/15/2022 9:34,FALSE,Saginaw Running,3,328,0:21:05,0,0,167,175,7:01,6:30,--,--,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,4,0,0:21:05,0:21:09,591,600
Treadmill Running,12/15/2022 8:54,FALSE,Treadmill Running,4.5,492,0:30:19,0,0,170,188,6:44,5:00,--,--,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:00.2,12,0,0:30:17,0:30:19,526,526
Running,12/15/2022 8:19,FALSE,Saginaw Running,3.06,333,0:21:26,0,0,166,173,7:00,6:36,3,3,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:25.8,4,0,0:21:26,0:21:26,594,597
Running,12/14/2022 11:37,FALSE,Saginaw County Running,10.01,"1,090",1:09:59,0,0,169,182,7:00,6:04,13,13,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,11,0,1:09:57,1:15:18,581,605
Running,12/13/2022 11:45,FALSE,Saginaw Running,3.01,325,0:20:52,0,0,168,176,6:56,6:34,--,--,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,4,0,0:20:51,0:20:56,591,600
Treadmill Running,12/13/2022 11:05,FALSE,Treadmill Running,3.1,330,0:19:21,0,0,174,182,6:14,5:07,--,--,1.49,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,16,0,0:19:19,0:21:40,--,--
Running,12/13/2022 10:30,FALSE,Saginaw Running,3.01,329,0:20:08,0,0,168,177,6:42,5:56,--,--,1.43,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,4,0,0:20:08,0:20:11,594,597
Running,12/11/2022 8:23,FALSE,Saginaw Running,14,"1,491",1:34:05,0,0,170,185,6:43,3:21,405,405,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:28.6,14,0,1:34:03,1:39:32,411,605
Running,12/9/2022 8:49,FALSE,Saginaw Running,3.01,328,0:21:12,0,0,168,176,7:03,6:34,--,--,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.1,4,0,0:21:11,0:21:12,591,600
Treadmill Running,12/9/2022 8:22,FALSE,Treadmill Running,1.73,192,0:12:47,0,0,162,167,7:23,7:00,--,--,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:20.2,2,0,0:12:47,0:12:47,--,--
Treadmill Running,12/9/2022 8:07,FALSE,Treadmill Running,1.41,148,08:05.4,0,0,179,194,5:45,4:45,--,--,1.55,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.6,7,0,08:04.3,08:05.4,--,--
Running,12/9/2022 7:23,FALSE,Saginaw Running,3.01,328,0:20:50,0,0,168,181,6:56,5:35,3,--,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,4,0,0:20:49,0:20:50,594,597
Running,12/8/2022 6:20,FALSE,Saginaw Running,8,874,0:56:07,0,0,167,185,7:01,5:30,16,16,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,9,0,0:56:04,0:57:05,591,614
Running,12/7/2022 7:21,FALSE,Saginaw Running,11.01,"1,204",1:15:56,0,0,168,178,6:54,5:56,25,25,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.9,12,0,1:15:53,1:15:56,584,600
Running,12/6/2022 11:51,FALSE,Saginaw Running,3.01,328,0:20:41,0,0,165,173,6:53,6:27,10,10,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:20:40,0:20:41,584,594
Treadmill Running,12/6/2022 10:46,FALSE,"3mi Tempo, 2xTempo Mile, 2x200",5.5,546,0:33:27,0,0,170,220,6:05,3:07,--,--,1.47,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:28.7,26,0,0:33:22,0:35:37,--,--
Running,12/6/2022 10:12,FALSE,Saginaw Running,3.01,326,0:19:48,0,0,165,171,6:35,6:06,--,--,1.49,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.2,4,0,0:19:48,0:19:48,594,597
Treadmill Running,12/5/2022 7:13,FALSE,Treadmill Running,2,222,0:14:52,0,0,161,165,7:25,6:57,--,--,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,3,0,0:14:52,0:14:52,--,--
Running,12/5/2022 6:20,FALSE,Saginaw Running,5,553,0:35:58,0,0,165,174,7:11,5:44,8,7,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,6,0,0:35:57,0:36:18,591,600
Running,12/4/2022 8:15,FALSE,Saginaw Running,14.01,"1,526",1:36:18,0,0,167,178,6:53,5:20,22,22,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.3,15,0,1:36:14,1:40:25,581,606
Running,12/3/2022 9:48,FALSE,Saginaw Running,8,868,0:52:30,0,0,167,178,6:34,5:39,30,30,1.47,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,9,0,0:52:28,0:56:32,594,623
Running,12/1/2022 7:08,FALSE,Saginaw Running,8.67,947,0:58:14,0,0,168,176,6:43,5:46,14,11,1.43,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:17.1,9,0,0:58:11,0:58:19,584,594
Running,11/30/2022 9:28,FALSE,Saginaw Running,5,546,0:34:43,0,0,167,178,6:56,5:57,13,13,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,6,0,0:34:42,0:35:03,584,600
Running,11/29/2022 6:16,FALSE,Saginaw Running,9.01,988,1:04:51,0,0,166,176,7:12,6:25,15,15,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.8,10,0,1:04:49,1:04:54,584,600
Running,11/28/2022 6:19,FALSE,Saginaw Running,5,552,0:37:09,0,0,166,174,7:26,6:42,7,10,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,6,0,0:37:07,0:38:18,591,600
Running,11/23/2022 10:16,FALSE,Livingston County Running,4,442,0:29:26,0,0,166,188,7:21,6:51,266,268,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,5,0,0:29:25,0:29:26,933,"1,053"
Running,11/21/2022 7:21,FALSE,Saginaw Running,4,438,0:28:29,0,0,167,176,7:07,6:38,10,10,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,5,0,0:28:29,0:28:29,584,594
Treadmill Running,11/20/2022 16:59,FALSE,Treadmill Running,0.71,77,05:20.4,0,0,163,172,7:32,5:53,--,--,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:20.4,1,0,0:05:20,05:49.1,676,676
Running,11/20/2022 16:41,FALSE,Saginaw Running,2.01,217,0:13:31,0,0,169,180,6:44,5:57,--,--,1.41,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,3,0,0:13:31,0:14:00,594,597
